,Movie Title,Released Year,Runtime,IMDB Rating,Director,Genre,Stars
269,Uri: The Surgical Strike,2018,138 min,8.2,Aditya Dhar,Drama,"Vicky Kaushal, Paresh Rawal, Mohit Raina, Yami Gautam"
270,V for Vendetta,2005,132 min,8.2,James McTeigue,Drama,"Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea"
271,Vikram Vedha,2017,147 min,8.4,Gayatri,"Crime, Drama","Pushkar, Madhavan, Vijay Sethupathi, Shraddha Srinath"
272,Viskningar och rop,1972,91 min,8.1,Ingmar Bergman,Drama,"Harriet Andersson, Liv Ullmann, Kari Sylwan, Ingrid Thulin"
273,Warrior,2011,140 min,8.2,Gavin O'Connor,Drama,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison"
274,What Ever Happened to Baby Jane?,1962,134 min,8.1,Robert Aldrich,Drama,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy"
275,Whiplash,2014,106 min,8.5,Damien Chazelle,Drama,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
276,White Heat,1949,114 min,8.1,Raoul Walsh,"Crime, Drama","James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly"
277,Witness for the Prosecution,1957,116 min,8.4,Billy Wilder,"Crime, Drama","Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester"
278,Yôjinbô,1961,110 min,8.2,Akira Kurosawa,Drama,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai, Yôko Tsukasa"
279,Zerkalo,1975,107 min,8.1,Andrei Tarkovsky,Drama,"Margarita Terekhova, Filipp Yankovskiy, Ignat Daniltsev, Oleg Yankovskiy"
280,Zindagi Na Milegi Dobara,2011,155 min,8.1,Zoya Akhtar,"Comedy, Drama","Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif"
281,Ôkami kodomo no Ame to Yuki,2012,117 min,8.1,Mamoru Hosoda,Drama,"Aoi Miyazaki, Takao Osawa, Haru Kuroki, Yukito Nishii"
