,Movie Title,Released Year,Runtime,IMDB Rating,Director,Genre,Stars
114,K.G.F: Chapter 1,2018,156 min,8.2,Prashanth Neel,Drama,"Yash, Srinidhi Shetty, Ramachandra Raju, Archana Jois"
115,Kakushi-toride no san-akunin,1958,139 min,8.1,Akira Kurosawa,Drama,"Toshirô Mifune, Misa Uehara, Minoru Chiaki, Kamatari Fujiwara"
116,Kill Bill: Vol. 1,2003,111 min,8.1,Quentin Tarantino,"Crime, Drama","Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen"
117,Kimi no na wa.,2016,106 min,8.4,Makoto Shinkai,Drama,"Ryûnosuke Kamiki, Mone Kamishiraishi, Ryô Narita, Aoi Yûki"
118,Kis Uykusu,2014,196 min,8.1,Nuri Bilge Ceylan,Drama,"Haluk Bilginer, Melisa Sözen, Demet Akbag, Ayberk Pekcan"
119,Klaus,2019,96 min,8.2,Sergio Pablos,Comedy,"Carlos Martínez López, Jason Schwartzman, J.K. Simmons, Rashida Jones"
120,Koe no katachi,2016,130 min,8.1,Naoko Yamada,Drama,"Miyu Irino, Saori Hayami, Aoi Yûki, Kenshô Ono"
121,Kumonosu-jô,1957,110 min,8.1,Akira Kurosawa,Drama,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura"
122,L.A. Confidential,1997,138 min,8.2,Curtis Hanson,"Crime, Drama","Kevin Spacey, Russell Crowe, Guy Pearce, Kim Basinger"
123,La Grande Illusion,1937,113 min,8.1,Jean Renoir,Drama,"Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim"
124,La battaglia di Algeri,1966,121 min,8.1,Gillo Pontecorvo,Drama,"Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash"
125,La haine,1995,98 min,8.1,Mathieu Kassovitz,"Crime, Drama","Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili"
126,La leggenda del pianista sull'oceano,1998,169 min,8.1,Giuseppe Tornatore,Drama,"Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn"
127,La passion de Jeanne d'Arc,1928,110 min,8.1,Carl Theodor Dreyer,Drama,"Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz"
128,La vita è bella,1997,116 min,8.6,Roberto Benigni,"Comedy, Drama","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
129,Ladri di biciclette,1948,89 min,8.3,Vittorio De Sica,Drama,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Elena Altieri"
130,Lagaan: Once Upon a Time in India,2001,224 min,8.1,Ashutosh Gowariker,Drama,"Aamir Khan, Raghuvir Yadav, Gracy Singh, Rachel Shelley"
131,Lage Raho Munna Bhai,2006,144 min,8.1,Rajkumar Hirani,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Vidya Balan, Boman Irani"
132,Lawrence of Arabia,1962,228 min,8.3,David Lean,Drama,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
133,Le notti di Cabiria,1957,110 min,8.1,Federico Fellini,Drama,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray"
134,Le salaire de la peur,1953,131 min,8.1,Henri-Georges Clouzot,Drama,"Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli"
135,Le samouraï,1967,105 min,8.1,Jean-Pierre Melville,"Crime, Drama","Alain Delon, François Périer, Nathalie Delon, Cathy Rosier"
136,Les quatre cents coups,1959,99 min,8.1,François Truffaut,"Crime, Drama","Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble"
137,Life of Brian,1979,94 min,8.1,Terry Jones,Comedy,"Graham Chapman, John Cleese, Michael Palin, Terry Gilliam"
138,"Lock, Stock and Two Smoking Barrels",1998,107 min,8.2,Guy Ritchie,"Comedy, Crime","Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham"
139,Logan,2017,137 min,8.1,James Mangold,Drama,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook"
140,Léon,1994,110 min,8.5,Luc Besson,"Crime, Drama","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
141,M - Eine Stadt sucht einen Mörder,1931,117 min,8.3,Fritz Lang,Crime,"Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke"
142,Mandariinid,2013,87 min,8.2,Zaza Urushadze,Drama,"Lembit Ulfsak, Elmo Nüganen, Giorgi Nakashidze, Misha Meskhi"
143,Mary and Max,2009,92 min,8.1,Adam Elliot,"Comedy, Drama","Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries"
144,Metropolis,1927,153 min,8.3,Fritz Lang,Drama,"Brigitte Helm, Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge"
145,Million Dollar Baby,2004,132 min,8.1,Clint Eastwood,Drama,"Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel"
146,Miracle in cell NO.7,2019,132 min,8.3,Mehmet Ada Öztekin,Drama,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal, Celile Toyon Uysal"
147,Modern Times,1936,87 min,8.5,Charles Chaplin,"Comedy, Drama","Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford"
148,Mommy,2014,139 min,8.1,Xavier Dolan,Drama,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément, Patrick Huard"
149,"Monsters, Inc.",2001,92 min,8.1,Pete Docter,Comedy,"David Silverman, Lee Unkrich, Billy Crystal, John Goodman"
150,Monty Python and the Holy Grail,1975,91 min,8.2,Terry Gilliam,Comedy,"Terry Jones, Graham Chapman, John Cleese, Eric Idle"
151,Mr. Smith Goes to Washington,1939,129 min,8.1,Frank Capra,"Comedy, Drama","James Stewart, Jean Arthur, Claude Rains, Edward Arnold"
152,Munna Bhai M.B.B.S.,2003,156 min,8.1,Rajkumar Hirani,"Comedy, Drama","Sanjay Dutt, Arshad Warsi, Gracy Singh, Sunil Dutt"
153,Network,1976,121 min,8.1,Sidney Lumet,Drama,"Faye Dunaway, William Holden, Peter Finch, Robert Duvall"
154,No Country for Old Men,2007,122 min,8.1,Ethan Coen,"Crime, Drama","Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin"
155,Nuovo Cinema Paradiso,1988,155 min,8.5,Giuseppe Tornatore,Drama,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli"
156,OMG: Oh My God!,2012,125 min,8.1,Umesh Shukla,"Comedy, Drama","Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Mahesh Manjrekar"
157,Okuribito,2008,130 min,8.1,Yôjirô Takita,Drama,"Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki"
158,Oldeuboi,2003,101 min,8.4,Chan-wook Park,Drama,"Choi Min-sik, Yoo Ji-Tae, Kang Hye-jeong, Kim Byeong-Ok"
159,On the Waterfront,1954,108 min,8.1,Elia Kazan,"Crime, Drama","Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger"
160,Once Upon a Time in America,1984,229 min,8.4,Sergio Leone,"Crime, Drama","Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams"
161,One Flew Over the Cuckoo's Nest,1975,133 min,8.7,Milos Forman,Drama,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco"
162,PK,2014,153 min,8.1,Rajkumar Hirani,"Comedy, Drama","Aamir Khan, Anushka Sharma, Sanjay Dutt, Boman Irani"
163,Paan Singh Tomar,2012,135 min,8.2,Tigmanshu Dhulia,Crime,"Irrfan Khan, Mahie Gill, Rajesh Abhay, Hemendra Dandotiya"
164,Pan's Labyrinth,2006,118 min,8.2,Guillermo del Toro,Drama,"Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú"
165,Paper Moon,1973,102 min,8.1,Peter Bogdanovich,"Comedy, Crime, Drama","Ryan O'Neal, Tatum O'Neal, Madeline Kahn, John Hillerman"
166,"Paris, Texas",1984,145 min,8.1,Wim Wenders,Drama,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Aurore Clément"
167,Paths of Glory,1957,88 min,8.4,Stanley Kubrick,Drama,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready"
168,Persona,1966,85 min,8.1,Ingmar Bergman,Drama,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand"
169,Pink,2016,136 min,8.1,Aniruddha Roy Chowdhury,Drama,"Taapsee Pannu, Amitabh Bachchan, Kirti Kulhari, Andrea Tariang"
170,Pink Floyd: The Wall,1982,95 min,8.1,Alan Parker,Drama,"Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David"
171,Platoon,1986,120 min,8.1,Oliver Stone,Drama,"Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David"
172,Portrait de la jeune fille en feu,2019,122 min,8.1,Céline Sciamma,Drama,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino"
173,Prisoners,2013,153 min,8.1,Denis Villeneuve,"Crime, Drama","Hugh Jackman, Jake Gyllenhaal, Viola Davis, Melissa Leo"
174,Pulp Fiction,1994,154 min,8.9,Quentin Tarantino,"Crime, Drama","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis"
175,Queen,2013,146 min,8.2,Vikas Bahl,"Comedy, Drama","Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho"
176,Raging Bull,1980,129 min,8.2,Martin Scorsese,Drama,"Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent"
177,Ran,1985,162 min,8.2,Akira Kurosawa,Drama,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû"
178,Rang De Basanti,2006,167 min,8.2,Rakeysh Omprakash Mehra,"Comedy, Crime, Drama","Aamir Khan, Soha Ali Khan, Siddharth, Sharman Joshi"
179,Rashômon,1950,88 min,8.2,Akira Kurosawa,"Crime, Drama","Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura"
180,Rebecca,1940,130 min,8.1,Alfred Hitchcock,Drama,"Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson"
181,Relatos salvajes,2014,122 min,8.1,Damián Szifron,"Comedy, Drama","Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta"
182,Requiem for a Dream,2000,102 min,8.3,Darren Aronofsky,Drama,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans"
183,Reservoir Dogs,1992,99 min,8.3,Quentin Tarantino,"Crime, Drama","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn"
184,Rocky,1976,120 min,8.1,John G. Avildsen,Drama,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers"
185,Room,2015,118 min,8.1,Lenny Abrahamson,Drama,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson"
186,Rush,2013,123 min,8.1,Ron Howard,Drama,"Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara"
187,Salinui chueok,2003,131 min,8.1,Bong Joon Ho,"Crime, Drama","Kang-ho Song, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song"
188,Sanjuro,1962,96 min,8.1,Akira Kurosawa,"Comedy, Crime","Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi, Yûnosuke Itô"
189,Saving Private Ryan,1998,169 min,8.6,Steven Spielberg,Drama,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns"
190,Scarface,1983,170 min,8.3,Brian De Palma,"Crime, Drama","Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio"
191,Schindler's List,1993,195 min,8.9,Steven Spielberg,Drama,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall"
192,Se7en,1995,127 min,8.6,David Fincher,"Crime, Drama","Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
193,Seppuku,1962,133 min,8.6,Masaki Kobayashi,Drama,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba"
194,Sherlock Jr.,1924,45 min,8.2,Buster Keaton,Comedy,"Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly"
195,Shichinin no samurai,1954,207 min,8.6,Akira Kurosawa,Drama,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
196,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,8.1,Hideaki Anno,Drama,"Kazuya Tsurumaki, Megumi Ogata, Megumi Hayashibara, Yûko Miyamura"
197,Sholay,1975,204 min,8.2,Ramesh Sippy,Comedy,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan"
198,Singin' in the Rain,1952,103 min,8.3,Stanley Donen,Comedy,"Gene Kelly, Gene Kelly, Donald O'Connor, Debbie Reynolds"
199,Smultronstället,1957,91 min,8.2,Ingmar Bergman,Drama,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand"
200,Snatch,2000,104 min,8.3,Guy Ritchie,"Comedy, Crime","Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina"
201,Solaris,1972,167 min,8.1,Andrei Tarkovsky,Drama,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy"
202,Some Like It Hot,1959,121 min,8.2,Billy Wilder,Comedy,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft"
203,Song of the Sea,2014,93 min,8.1,Tomm Moore,Drama,"David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan"
204,Soorarai Pottru,2020,153 min,8.6,Sudha Kongara,Drama,"Suriya, Madhavan, Paresh Rawal, Aparna Balamurali"
205,Soul,2020,100 min,8.1,Pete Docter,Comedy,"Kemp Powers, Jamie Foxx, Tina Fey, Graham Norton"
206,Spotlight,2015,129 min,8.1,Tom McCarthy,"Crime, Drama","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber"
207,Stalker,1979,162 min,8.2,Andrei Tarkovsky,Drama,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko"
208,Stand by Me,1986,89 min,8.1,Rob Reiner,Drama,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell"
209,Sunrise: A Song of Two Humans,1927,94 min,8.1,F.W. Murnau,Drama,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing"
210,Sunset Blvd.,1950,110 min,8.4,Billy Wilder,Drama,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson"
211,"Swades: We, the People",2004,210 min,8.2,Ashutosh Gowariker,Drama,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth"
212,Taare Zameen Par,2007,165 min,8.4,Aamir Khan,Drama,"Amole Gupte, Darsheel Safary, Aamir Khan, Tisca Chopra"
213,Taegukgi hwinalrimyeo,2004,140 min,8.1,Je-kyu Kang,Drama,"Jang Dong-Gun, Won Bin, Eun-ju Lee, Hyeong-jin Kong"
214,Talvar,2015,132 min,8.2,Meghna Gulzar,"Crime, Drama","Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
215,Taxi Driver,1976,114 min,8.3,Martin Scorsese,"Crime, Drama","Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks"
216,Tengoku to jigoku,1963,143 min,8.4,Akira Kurosawa,"Crime, Drama","Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai, Kyôko Kagawa"
217,The Apartment,1960,125 min,8.3,Billy Wilder,"Comedy, Drama","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston"
218,The Big Lebowski,1998,117 min,8.1,Joel Coen,"Comedy, Crime","Ethan Coen, Jeff Bridges, John Goodman, Julianne Moore"
219,The Bridge on the River Kwai,1957,161 min,8.1,David Lean,Drama,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"
220,The Circus,1928,72 min,8.1,Charles Chaplin,Comedy,"Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker"
221,The Dark Knight,2008,152 min,9.0,Christopher Nolan,"Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine"
222,The Deer Hunter,1978,183 min,8.1,Michael Cimino,Drama,"Robert De Niro, Christopher Walken, John Cazale, John Savage"
223,The Departed,2006,151 min,8.5,Martin Scorsese,"Crime, Drama","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
224,The Elephant Man,1980,124 min,8.1,David Lynch,Drama,"Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud"
225,The General,1926,67 min,8.1,Clyde Bruckman,Comedy,"Buster Keaton, Buster Keaton, Marion Mack, Glen Cavender"
226,The Godfather,1972,175 min,9.2,Francis Ford Coppola,"Crime, Drama","Marlon Brando, Al Pacino, James Caan, Diane Keaton"
